Date,Open,High,Low,Close/Last,Close/Last,Volume
6/9/2020,320.3,323.2849,319.36,320.79,320.79,77479230
6/8/2020,320.22,323.41,319.63,323.2,323.2,73641220
6/5/2020,317.23,321.275,317.16,319.34,319.34,150524700
6/4/2020,311.11,313,309.08,311.36,311.36,75794360
6/3/2020,310.24,313.22,309.94,312.18,312.18,92567570
6/2/2020,306.55,308.13,305.1,308.08,308.08,74267160
6/1/2020,303.62,306.205,303.06,305.55,305.55,56779840
5/29/2020,302.46,304.96,299.47,304.32,304.32,119265700
5/28/2020,304.65,306.84,302.24,302.97,302.97,90767810
5/27/2020,302.12,303.57,296.87,303.53,303.53,104817400
5/26/2020,301.93,302.19,295.4646,299.08,299.08,88951440
5/22/2020,294.57,295.63,293.22,295.44,295.44,63958200
5/21/2020,296.79,297.67,293.6886,294.88,294.88,78293930
5/20/2020,295.82,297.87,295.57,296.93,296.93,85861690
5/19/2020,294.35,296.205,291.95,291.97,291.97,95189320
5/18/2020,293.05,296.75,292.7,295,295,120320200
5/15/2020,282.37,286.33,281.34,286.28,286.28,111146300
5/14/2020,278.95,285.11,272.99,284.97,284.97,121977900
5/13/2020,286.06,287.19,278.965,281.6,281.6,144721100
5/12/2020,293.79,294.24,286.52,286.67,286.67,95870790
5/11/2020,290.34,294,289.88,292.5,292.5,79514230
5/8/2020,291.09,292.95,289.86,292.44,292.44,76622130
5/7/2020,287.75,289.78,287.13,287.68,287.68,75250410
5/6/2020,288.04,288.46,283.78,284.25,284.25,73632630
5/5/2020,286.64,289.25,283.7134,286.19,286.19,79569940
5/4/2020,280.74,283.9,279.13,283.57,283.57,80873210
5/1/2020,285.31,290.6572,281.52,282.79,282.79,125180000
4/30/2020,291.71,293.3239,288.59,290.48,290.48,122901700
4/29/2020,291.53,294.88,290.41,293.21,293.21,118745600
4/28/2020,291.02,291.4,285.4,285.73,285.73,105270000
4/27/2020,285.12,288.27,284.62,287.05,287.05,77896610
4/24/2020,280.73,283.7,278.5,282.97,282.97,85165950
4/23/2020,280.49,283.94,278.75,279.08,279.08,104709700
4/22/2020,278.35,281,276.91,279.1,279.1,93524580
4/21/2020,276.73,278.04,272.02,273.04,273.04,126385700
4/20/2020,282.61,286.7912,281.35,281.59,281.59,100109300
4/17/2020,285.38,287.3,282.4,286.64,286.64,146684800
4/16/2020,279.15,280.03,275.76,279.1,279.1,131798300
4/15/2020,277.57,283.9407,275.46,277.76,277.76,121775000
4/14/2020,280.98,284.9,275.5106,283.79,283.79,134143400
4/13/2020,277.14,277.51,271.41,275.66,275.66,114839100
4/9/2020,277.58,281.2,275.47,278.2,278.2,190282700
4/8/2020,267.96,276,265.2542,274.03,274.03,153774500
4/7/2020,274.21,275.03,264.89,265.13,265.13,201427200
4/6/2020,257.84,267,248.1698,264.86,264.86,188061200
4/3/2020,250.76,253.32,245.22,248.19,248.19,135561200
4/2/2020,245.19,252.68,244.59,251.83,251.83,177660400
4/1/2020,247.98,257.6591,243.9,246.15,246.15,189554600
3/31/2020,260.56,263.33,256.22,257.75,257.75,194881100
3/30/2020,255.7,262.43,253.53,261.65,261.65,170961900
3/27/2020,253.27,260.81,251.05,253.42,253.42,224341200
